title,runtime,vote_average,vote_count,year,genre
Kicking and Screaming,96.0,7.0,36.0,1995,romance
Les Miserables,175.0,6.6,8.0,1995,drama
Les Miserables,175.0,6.6,8.0,1995,history
Bed of Roses,87.0,5.1,27.0,1996,drama
Bed of Roses,87.0,5.1,27.0,1996,romance
Big Bully,90.0,3.9,16.0,1996,comedy
Big Bully,90.0,3.9,16.0,1996,family
Screamers,108.0,6.1,154.0,1995,horror
Screamers,108.0,6.1,154.0,1995,science fiction
Nico Icon,70.0,7.3,3.0,1995,documentary
The Crossing Guard,111.0,6.1,74.0,1995,drama
The Crossing Guard,111.0,6.1,74.0,1995,thriller
The Juror,118.0,5.5,91.0,1996,drama
The Juror,118.0,5.5,91.0,1996,thriller
The White Balloon,85.0,7.5,20.0,1995,family
The White Balloon,85.0,7.5,20.0,1995,drama
Things to Do in Denver When You're Dead,116.0,6.7,87.0,1995,drama
Things to Do in Denver When You're Dead,116.0,6.7,87.0,1995,crime
Antonia's Line,102.0,7.2,26.0,1995,drama
Antonia's Line,102.0,7.2,26.0,1995,comedy
Once Upon a Time... When We Were Colored,115.0,4.5,2.0,1996,romance
Once Upon a Time... When We Were Colored,115.0,4.5,2.0,1996,drama
Last Summer in the Hamptons,108.0,0.0,0.0,1995,
Angels and Insects,118.0,6.3,17.0,1995,drama
Angels and Insects,118.0,6.3,17.0,1995,romance
White Squall,129.0,6.3,86.0,1996,action
White Squall,129.0,6.3,86.0,1996,drama
Dunston Checks In,88.0,5.1,59.0,1996,adventure
Dunston Checks In,88.0,5.1,59.0,1996,comedy
Dunston Checks In,88.0,5.1,59.0,1996,family
Black Sheep,87.0,6.0,124.0,1996,comedy
Nick of Time,90.0,6.1,190.0,1995,crime
Nick of Time,90.0,6.1,190.0,1995,drama
Nick of Time,90.0,6.1,190.0,1995,thriller
The Journey of August King,91.0,6.7,3.0,1995,drama
Mary Reilly,104.0,5.7,77.0,1996,drama
Mary Reilly,104.0,5.7,77.0,1996,horror
Mary Reilly,104.0,5.7,77.0,1996,thriller
Mary Reilly,104.0,5.7,77.0,1996,romance
Vampire in Brooklyn,100.0,4.5,113.0,1995,comedy
Vampire in Brooklyn,100.0,4.5,113.0,1995,horror
Vampire in Brooklyn,100.0,4.5,113.0,1995,romance
Beautiful Girls,112.0,6.6,103.0,1996,comedy
Beautiful Girls,112.0,6.6,103.0,1996,drama
Beautiful Girls,112.0,6.6,103.0,1996,romance
Broken Arrow,108.0,5.7,459.0,1996,action
Broken Arrow,108.0,5.7,459.0,1996,adventure
Broken Arrow,108.0,5.7,459.0,1996,drama
Broken Arrow,108.0,5.7,459.0,1996,thriller
A Midwinter's Tale,99.0,7.5,6.0,1995,comedy
La Haine,98.0,7.9,695.0,1995,drama
Shopping,105.0,5.6,13.0,1994,action
Shopping,105.0,5.6,13.0,1994,adventure
Shopping,105.0,5.6,13.0,1994,drama
Shopping,105.0,5.6,13.0,1994,science fiction
Shopping,105.0,5.6,13.0,1994,thriller
Heidi Fleiss: Hollywood Madam,106.0,6.8,4.0,1995,documentary
City Hall,111.0,6.0,67.0,1996,drama
City Hall,111.0,6.0,67.0,1996,thriller
Bottle Rocket,91.0,6.8,285.0,1996,comedy
Bottle Rocket,91.0,6.8,285.0,1996,crime
Bottle Rocket,91.0,6.8,285.0,1996,drama
Mr. Wrong,96.0,3.3,16.0,1996,comedy
Mr. Wrong,96.0,3.3,16.0,1996,romance
Unforgettable,106.0,5.3,22.0,1996,drama
Unforgettable,106.0,5.3,22.0,1996,mystery
Unforgettable,106.0,5.3,22.0,1996,science fiction
Unforgettable,106.0,5.3,22.0,1996,thriller
Happy Gilmore,92.0,6.5,767.0,1996,comedy
The Bridges of Madison County,135.0,7.3,397.0,1995,drama
The Bridges of Madison County,135.0,7.3,397.0,1995,romance
Nobody Loves Me,104.0,5.1,5.0,1994,drama
Nobody Loves Me,104.0,5.1,5.0,1994,comedy
Nobody Loves Me,104.0,5.1,5.0,1994,family
Muppet Treasure Island,100.0,6.5,93.0,1996,action
Muppet Treasure Island,100.0,6.5,93.0,1996,comedy
Muppet Treasure Island,100.0,6.5,93.0,1996,music
Muppet Treasure Island,100.0,6.5,93.0,1996,family
Muppet Treasure Island,100.0,6.5,93.0,1996,adventure
Catwalk,95.0,7.0,2.0,1995,documentary
Headless Body in Topless Bar,110.0,0.0,0.0,1995,crime
Braveheart,177.0,7.7,3404.0,1995,action
Braveheart,177.0,7.7,3404.0,1995,drama
Braveheart,177.0,7.7,3404.0,1995,history
Braveheart,177.0,7.7,3404.0,1995,war
Taxi Driver,114.0,8.1,2632.0,1976,crime
Taxi Driver,114.0,8.1,2632.0,1976,drama
Rumble in the Bronx,91.0,6.5,245.0,1995,crime
Rumble in the Bronx,91.0,6.5,245.0,1995,action
Rumble in the Bronx,91.0,6.5,245.0,1995,comedy
Rumble in the Bronx,91.0,6.5,245.0,1995,thriller
Before and After,108.0,5.8,37.0,1996,drama
Before and After,108.0,5.8,37.0,1996,thriller
Margaret's Museum,114.0,7.5,2.0,1995,drama
Happiness Is in the Field,106.0,7.0,23.0,1995,comedy
Anne Frank Remembered,117.0,7.3,4.0,1995,documentary
Anne Frank Remembered,117.0,7.3,4.0,1995,drama
Anne Frank Remembered,117.0,7.3,4.0,1995,foreign
The Young Poisoner's Handbook,99.0,6.9,19.0,1995,comedy
The Young Poisoner's Handbook,99.0,6.9,19.0,1995,crime
The Young Poisoner's Handbook,99.0,6.9,19.0,1995,drama
If Lucy Fell,92.0,5.4,11.0,1996,comedy
If Lucy Fell,92.0,5.4,11.0,1996,romance
Steal Big Steal Little,113.0,5.1,7.0,1995,comedy
Steal Big Steal Little,113.0,5.1,7.0,1995,drama
Race the Sun,100.0,5.2,21.0,1996,action
Race the Sun,100.0,5.2,21.0,1996,adventure
Race the Sun,100.0,5.2,21.0,1996,comedy
Race the Sun,100.0,5.2,21.0,1996,drama
Race the Sun,100.0,5.2,21.0,1996,family
The Boys of St. Vincent,90.0,7.0,7.0,1992,drama
Boomerang,117.0,5.4,139.0,1992,comedy
Boomerang,117.0,5.4,139.0,1992,romance
Chungking Express,102.0,7.9,249.0,1994,drama
Chungking Express,102.0,7.9,249.0,1994,comedy
Chungking Express,102.0,7.9,249.0,1994,romance
The Star Maker,113.0,6.8,29.0,1995,drama
The Star Maker,113.0,6.8,29.0,1995,romance
Flirting with Disaster,92.0,6.3,66.0,1996,comedy
Flirting with Disaster,92.0,6.3,66.0,1996,romance
The Neverending Story III: Escape from Fantasia,95.0,4.4,105.0,1994,fantasy
The Silences of the Palace,116.0,4.3,3.0,1994,drama
Jupiter's Wife,87.0,0.0,0.0,1995,
Pie in the Sky,95.0,7.0,2.0,1996,comedy
Pie in the Sky,95.0,7.0,2.0,1996,romance
Angela,99.0,5.6,9.0,1995,comedy
Angela,99.0,5.6,9.0,1995,drama
Frankie Starlight,101.0,5.4,4.0,1995,drama
Frankie Starlight,101.0,5.4,4.0,1995,romance
Frankie Starlight,101.0,5.4,4.0,1995,war
Jade,95.0,5.1,45.0,1995,action
Jade,95.0,5.1,45.0,1995,thriller
Jade,95.0,5.1,45.0,1995,mystery
Jade,95.0,5.1,45.0,1995,romance
Nueba Yol,102.0,5.5,1.0,1995,comedy
Nueba Yol,102.0,5.5,1.0,1995,drama
Nueba Yol,102.0,5.5,1.0,1995,romance
Sonic Outlaws,87.0,0.0,0.0,1995,music
Sonic Outlaws,87.0,0.0,0.0,1995,documentary
Down Periscope,92.0,5.6,110.0,1996,comedy
From the Journals of Jean Seberg,97.0,6.5,2.0,1995,documentary
Man of the Year,86.0,3.8,2.0,1995,comedy
The Neon Bible,91.0,7.2,5.0,1995,drama
Target,122.0,0.0,0.0,1995,
Up Close & Personal,119.0,5.9,51.0,1996,drama
Up Close & Personal,119.0,5.9,51.0,1996,romance
The Birdcage,117.0,6.7,303.0,1996,comedy
Virgin Mary,125.0,7.0,2.0,1995,drama
The Brothers McMullen,98.0,6.3,23.0,1995,comedy
The Brothers McMullen,98.0,6.3,23.0,1995,drama
The Brothers McMullen,98.0,6.3,23.0,1995,romance
Bad Boys,118.0,6.5,1729.0,1995,action
Bad Boys,118.0,6.5,1729.0,1995,comedy
Bad Boys,118.0,6.5,1729.0,1995,crime
Bad Boys,118.0,6.5,1729.0,1995,thriller
The Amazing Panda Adventure,81.0,5.0,31.0,1995,action
The Amazing Panda Adventure,81.0,5.0,31.0,1995,adventure
The Amazing Panda Adventure,81.0,5.0,31.0,1995,drama
The Amazing Panda Adventure,81.0,5.0,31.0,1995,family
The Basketball Diaries,102.0,7.2,472.0,1995,drama
The Basketball Diaries,102.0,7.2,472.0,1995,crime
An Awfully Big Adventure,113.0,6.0,11.0,1995,romance
An Awfully Big Adventure,113.0,6.0,11.0,1995,drama
An Awfully Big Adventure,113.0,6.0,11.0,1995,comedy
Amateur,105.0,6.5,21.0,1994,crime
Amateur,105.0,6.5,21.0,1994,comedy
Amateur,105.0,6.5,21.0,1994,drama
Amateur,105.0,6.5,21.0,1994,thriller
Apollo 13,140.0,7.3,1637.0,1995,drama
Rob Roy,139.0,6.5,151.0,1995,adventure
The Addiction,82.0,6.4,46.0,1995,drama
The Addiction,82.0,6.4,46.0,1995,horror
Batman Forever,121.0,5.2,1529.0,1995,action
Batman Forever,121.0,5.2,1529.0,1995,crime
Batman Forever,121.0,5.2,1529.0,1995,fantasy
Belle de Jour,101.0,7.3,163.0,1967,drama
Belle de Jour,101.0,7.3,163.0,1967,romance
Beyond Rangoon,100.0,6.4,21.0,1995,drama
Beyond Rangoon,100.0,6.4,21.0,1995,thriller
Blue in the Face,83.0,6.8,28.0,1995,comedy
Canadian Bacon,91.0,5.9,57.0,1995,action
Canadian Bacon,91.0,5.9,57.0,1995,comedy
Casper,100.0,6.0,1045.0,1995,fantasy
Casper,100.0,6.0,1045.0,1995,comedy
Casper,100.0,6.0,1045.0,1995,family
Clockers,128.0,6.8,69.0,1995,mystery
Clockers,128.0,6.8,69.0,1995,crime
Clockers,128.0,6.8,69.0,1995,drama
Congo,109.0,5.0,214.0,1995,action
Congo,109.0,5.0,214.0,1995,adventure
Congo,109.0,5.0,214.0,1995,drama
Congo,109.0,5.0,214.0,1995,mystery
Congo,109.0,5.0,214.0,1995,science fiction
Congo,109.0,5.0,214.0,1995,thriller
Crimson Tide,116.0,7.0,508.0,1995,action
Crimson Tide,116.0,7.0,508.0,1995,thriller
Crimson Tide,116.0,7.0,508.0,1995,drama
Crumb,119.0,7.6,71.0,1994,documentary
Desperado,104.0,6.8,898.0,1995,thriller
Desperado,104.0,6.8,898.0,1995,action
Desperado,104.0,6.8,898.0,1995,crime
Devil in a Blue Dress,102.0,6.3,88.0,1995,drama
Devil in a Blue Dress,102.0,6.3,88.0,1995,mystery
Devil in a Blue Dress,102.0,6.3,88.0,1995,thriller
Die Hard: With a Vengeance,128.0,6.9,2094.0,1995,action
Die Hard: With a Vengeance,128.0,6.9,2094.0,1995,thriller
The Doom Generation,80.0,5.6,57.0,1995,action
The Doom Generation,80.0,5.6,57.0,1995,comedy
The Doom Generation,80.0,5.6,57.0,1995,crime
The Doom Generation,80.0,5.6,57.0,1995,drama
Feast of July,116.0,0.0,0.0,1995,drama
Feast of July,116.0,0.0,0.0,1995,crime
First Knight,134.0,5.9,319.0,1995,action
First Knight,134.0,5.9,319.0,1995,adventure
First Knight,134.0,5.9,319.0,1995,drama
First Knight,134.0,5.9,319.0,1995,romance
Free Willy 2 - The Adventure Home,95.0,5.5,130.0,1995,adventure
Hackers,107.0,6.2,406.0,1995,action
Hackers,107.0,6.2,406.0,1995,crime
Hackers,107.0,6.2,406.0,1995,thriller
Hackers,107.0,6.2,406.0,1995,drama
Jeffrey,92.0,6.5,19.0,1995,comedy
Jeffrey,92.0,6.5,19.0,1995,drama
Jeffrey,92.0,6.5,19.0,1995,romance
Johnny Mnemonic,97.0,5.5,380.0,1995,adventure
Johnny Mnemonic,97.0,5.5,380.0,1995,action
Johnny Mnemonic,97.0,5.5,380.0,1995,drama
Johnny Mnemonic,97.0,5.5,380.0,1995,science fiction
Johnny Mnemonic,97.0,5.5,380.0,1995,thriller
Judge Dredd,96.0,5.4,643.0,1995,science fiction
Jury Duty,88.0,4.0,34.0,1995,comedy
Jury Duty,88.0,4.0,34.0,1995,drama
Kids,91.0,6.8,280.0,1995,drama
Kids,91.0,6.8,280.0,1995,crime
Living in Oblivion,89.0,7.2,64.0,1995,drama
Living in Oblivion,89.0,7.2,64.0,1995,comedy
Lord of Illusions,119.0,5.9,87.0,1995,mystery
Lord of Illusions,119.0,5.9,87.0,1995,horror
Lord of Illusions,119.0,5.9,87.0,1995,thriller
Love & Human Remains,100.0,7.0,7.0,1993,comedy
Love & Human Remains,100.0,7.0,7.0,1993,drama
Mad Love,95.0,5.5,27.0,1995,drama
Mad Love,95.0,5.5,27.0,1995,family
Mad Love,95.0,5.5,27.0,1995,romance
Mallrats,94.0,6.8,400.0,1995,romance
Mallrats,94.0,6.8,400.0,1995,comedy
Mighty Morphin Power Rangers: The Movie,92.0,5.2,153.0,1995,action
Mighty Morphin Power Rangers: The Movie,92.0,5.2,153.0,1995,adventure
Mighty Morphin Power Rangers: The Movie,92.0,5.2,153.0,1995,science fiction
Mighty Morphin Power Rangers: The Movie,92.0,5.2,153.0,1995,family
Mighty Morphin Power Rangers: The Movie,92.0,5.2,153.0,1995,fantasy
Moonlight and Valentino,100.0,5.6,10.0,1995,comedy
Moonlight and Valentino,100.0,5.6,10.0,1995,drama
Moonlight and Valentino,100.0,5.6,10.0,1995,romance
Mute Witness,95.0,6.4,36.0,1995,thriller
Mute Witness,95.0,6.4,36.0,1995,foreign
Nadja,93.0,5.9,12.0,1994,horror
Nadja,93.0,5.9,12.0,1994,thriller
The Net,114.0,5.6,359.0,1995,crime
The Net,114.0,5.6,359.0,1995,drama
The Net,114.0,5.6,359.0,1995,mystery
The Net,114.0,5.6,359.0,1995,thriller
The Net,114.0,5.6,359.0,1995,action
Nine Months,103.0,5.5,171.0,1995,comedy
Party Girl,94.0,5.8,14.0,1995,comedy
The Prophecy,98.0,6.4,139.0,1995,fantasy
The Prophecy,98.0,6.4,139.0,1995,horror
The Prophecy,98.0,6.4,139.0,1995,thriller
Reckless,91.0,10.0,1.0,1995,fantasy
Reckless,91.0,10.0,1.0,1995,comedy
Reckless,91.0,10.0,1.0,1995,drama
Safe,119.0,7.2,62.0,1995,drama
The Scarlet Letter,135.0,5.5,111.0,1995,drama
The Scarlet Letter,135.0,5.5,111.0,1995,history
The Scarlet Letter,135.0,5.5,111.0,1995,romance
The Show,93.0,5.3,2.0,1995,documentary
Showgirls,128.0,4.9,261.0,1995,drama
Smoke,112.0,7.2,115.0,1995,comedy
Smoke,112.0,7.2,115.0,1995,drama
Something to Talk About,106.0,5.7,60.0,1995,comedy
Species,108.0,5.5,457.0,1995,science fiction
Species,108.0,5.5,457.0,1995,horror
Species,108.0,5.5,457.0,1995,action
The Stars Fell on Henrietta,109.0,6.6,6.0,1995,drama
Strange Days,145.0,6.8,334.0,1995,crime
Strange Days,145.0,6.8,334.0,1995,drama
Strange Days,145.0,6.8,334.0,1995,science fiction
Strange Days,145.0,6.8,334.0,1995,thriller
The Umbrellas of Cherbourg,91.0,7.6,119.0,1964,drama
The Umbrellas of Cherbourg,91.0,7.6,119.0,1964,romance
The Tie That Binds,99.0,4.6,9.0,1995,thriller
Three Wishes,115.0,6.1,18.0,1995,drama
Three Wishes,115.0,6.1,18.0,1995,fantasy
Total Eclipse,111.0,6.5,112.0,1995,drama
Total Eclipse,111.0,6.5,112.0,1995,romance
"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,6.3,117.0,1995,comedy
Under Siege 2: Dark Territory,100.0,5.6,217.0,1995,action
Under Siege 2: Dark Territory,100.0,5.6,217.0,1995,thriller
Unstrung Heroes,93.0,6.4,9.0,1995,comedy
Unstrung Heroes,93.0,6.4,9.0,1995,drama
Unstrung Heroes,93.0,6.4,9.0,1995,family
Unzipped,73.0,6.0,6.0,1995,documentary
A Walk in the Clouds,103.0,6.5,168.0,1995,drama
A Walk in the Clouds,103.0,6.5,168.0,1995,romance
Waterworld,135.0,5.9,1017.0,1995,adventure
Waterworld,135.0,5.9,1017.0,1995,action
White Man's Burden,89.0,5.1,25.0,1995,drama
Wild Bill,98.0,5.9,27.0,1995,action
Wild Bill,98.0,5.9,27.0,1995,western
The Browning Version,97.0,6.0,11.0,1994,drama
Bushwhacked,90.0,4.9,29.0,1995,adventure
Bushwhacked,90.0,4.9,29.0,1995,action
Bushwhacked,90.0,4.9,29.0,1995,comedy
Bushwhacked,90.0,4.9,29.0,1995,crime
Bushwhacked,90.0,4.9,29.0,1995,family
Burnt by the Sun,135.0,6.7,35.0,1994,drama
Before the Rain,113.0,7.7,45.0,1994,drama
Before the Rain,113.0,7.7,45.0,1994,war
Before Sunrise,105.0,7.7,984.0,1995,drama
Before Sunrise,105.0,7.7,984.0,1995,romance
Billy Madison,89.0,6.2,464.0,1995,comedy
The Babysitter,90.0,4.7,27.0,1995,drama
The Babysitter,90.0,4.7,27.0,1995,thriller
Boys on the Side,115.0,6.3,48.0,1995,comedy
Boys on the Side,115.0,6.3,48.0,1995,drama
The Cure,97.0,7.2,58.0,1995,drama
The Cure,97.0,7.2,58.0,1995,family
Castle Freak,95.0,5.8,40.0,1995,thriller
Castle Freak,95.0,5.8,40.0,1995,drama
Castle Freak,95.0,5.8,40.0,1995,horror
Castle Freak,95.0,5.8,40.0,1995,mystery
Circle of Friends,103.0,6.5,30.0,1995,drama
Circle of Friends,103.0,6.5,30.0,1995,family
Circle of Friends,103.0,6.5,30.0,1995,romance
Clerks,92.0,7.4,769.0,1994,comedy
Don Juan DeMarco,97.0,6.3,184.0,1994,romance
Don Juan DeMarco,97.0,6.3,184.0,1994,drama
Don Juan DeMarco,97.0,6.3,184.0,1994,comedy
Disclosure,123.0,5.9,217.0,1994,drama
Disclosure,123.0,5.9,217.0,1994,thriller
Disclosure,123.0,5.9,217.0,1994,crime
Disclosure,123.0,5.9,217.0,1994,mystery
Disclosure,123.0,5.9,217.0,1994,romance
Dream Man,0.0,2.5,1.0,1995,thriller
Drop Zone,101.0,5.1,91.0,1994,action
Drop Zone,101.0,5.1,91.0,1994,adventure
